"Grupo Niku,4"
"TORTELLI,1"
"TAKAMAR,1"
"LAKASIA,1"
"ANDRES,1"
"LA PATRONA,1"
"VENTOLINI,1"
"CHILLITACO,1"
"SPIWAK,1"
"CARBONIKA,1"
"LA CABAÑA,1"
"SUSHIGREEN / CHALACALACAS / TRATTORINA,1"
"PARKE 360,1"
"SALERNO,1"
"BUTCHER,1"
"GAON,1"
"ANTIGUA CONTEMPORANEA,1"
"FUSION WOK,2"
"LA BURGER TULUA,2"
"TORITO ROJO,2"
"LA CORTE DE LA CARNE,2"
"MARTINEZ ONTIVEROS FERNANDO JOSE,1"
"VIVANT,1"
"GARCIA RODRIGUEZ FOOD S.A.S.,1"
"DOLCE VITA,1"
"NAN KING,1"
"LONDEROS EXPRES,1"
"OLD WEST,1"
"LOS MONTES,1"
"SUPERLINEAS,1"
"GUERREROS BURGERS SAS,2"
"CASA MIYAGI,2"
"MADRIZ OLE,2"
"GRUPO K,2"
"PARRILLA EXPRESS,2"
"GRUPO GASTRONOMICO RIOSA,1"
"PALONEGRO ECOPARQUE,1"
"BACCA EXPRESS,1"
"ACEVEDO SILVA LUZ STELLA,1"
"SAN MARZANO,1"
"HAIKO SUSHI,1"
"WAKAI SUSHI,1"
"LA CORTE CASA DE CARNES,1"
"FORERO SANCHEZ LEONARDO ENRIQUE,1"
"CASALINS RESTAURANTE,2"
"GRUPO EL CUERNO SAS,2"
"RESTAURANTE BURGESS,2"
"BARRIO CAMPESTRE,2"
"CAMACHOS SEVERO BURGER,2"
"CARNYLACTEOS,2"
"BOLUDO,2"
"MERK EN CASA,2"
"KEIZAKI,2"
"SAYONARA,2"
"SUMO,2"
"HAMBURGUESERIA 2030,2"
"DYNASTIA,2"
"DARK BURGER,2"
"EL CORREO,2"
"MIRUM,3"
"LA MILAGROSA,2"
"CLUB MANIZALES,1"
"TAKASHI,1"
"TORRES ORTEGON FANY JULIED,1"
"DLK S.A.S,1"
"KATA SAS,1"
"ALIMENTOS ORIENTALES KAMARI LTDA,1"
"COMPAÑÍA COMERCIAL E INDUSTRIAL,1"
"VILASECA S.A.S,1"
"INMACULADA GUADALUPE Y AMIGOS SAS,1"
"INVERLEOKA S.A.S,1"
"IRCC SAS INDUSTRIA DE RESTAURANTES,1"
"HOTELES ESTELAR SA,1"
"HOTELERIA INTERNACIONAL S.A.,1"
"NOVA MAR DEVELOPMENT S.A,1"
"SOCIEDAD OPERADORA 72 GRAN HOTEL SA,1"
"RED ANGUS STEAK & BEER HOUSE S.A.S.,1"
"KARMEN FOODS  S A S,1"
"L & C S.A.S,1"
"LE CABRERA SOCIEDAD,1"
"B & A GROUP SAS,1"
"FRIGOTAURUS SAS,1"
"GRUPO LA COMARCA SAS,1"
"COMERCIALIZADORA DE PRECOCIDOS Y,1"
"INVERSIONES DQM SAS,1"
"FOODIE S.A.S,1"
"RESTAURANTE JAPONES KASOKU SAS,1"
"GRUPO SERATTA SAS,1"
"MERA EL DORADO S.A.S,1"
"GOÛT S.A.S,1"
"AMORE GROUP S A S,1"
"JENCAR SAS,1"
"OPERADOR HOTELERO PACTIA CORFERIAS,1"
"ALTAS VISTAS SAS,1"
"SALVAJE COLOMBIA SAS,1"
"SALVADOR MILAGROS SAS,1"
"GRUPO JUCA SAS,1"
"FELO LA SERENA SAS,1"
"LA ROSTICERIA NEIVA,1"
"TANGO PASION POR LA CARNE SAS,1"
"BACO FOODS COLOMBIA SAS,1"
"SOMOS BARRIO SAS,1"
"THE POWER OF LOVE SAS,1"
"GELP MX SAS,1"
"INVERSIONES JCC SAS,1"
"ARANZAZU CHAVEZ DANIEL FELIPE,1"
"CLAROS CALDERON ANGEL EDUARDO,1"
"NATSUKI SUSHI BAR,1"
"SODEXO S A S,2"
"CREPES & WAFFLES S.A.,2"
"CASA SAN PEDRO CAFE COCINA EXPRESS,2"
"OSAKA COCINA NIKKEI SAS,2"
"SAKANA SUSHI FUSION COL SAS,2"
"M&R GASTRONOMY SAS,2"
"ANGUS BURGER IBAGUE SAS,2"
"INVERSIONES INT COLOMBIA SAS,3"
